acl 2.2.53-2
python-pyotherside 1.5.8-2
python-pyparsing 2.4.6-1
python-pyscard 1.9.9-3
python-pyusb 1.0.2-4
python-setuptools 1:44.0.0-1
python-six 1.14.0-1
qrencode 4.0.2-1
qt5-base 5.14.0-3
qt5-declarative 5.14.0-3
qt5-graphicaleffects 5.14.0-1
qt5-quickcontrols 5.14.0-1
qt5-quickcontrols2 5.14.0-1
qt5-svg 5.14.0-1
qt5-x11extras 5.14.0-1
quazip 0.8.1-2
rdesktop 1.9.0-1
readline 8.0.001-2
refind-efi 0.11.3-1
reiserfsprogs 3.6.27-3
rest 0.8.1-1
rkhunter 1.4.6-1
rp-pppoe 3.13-1
rpcbind 1.2.5-3
rsync 3.1.3-3
ruby 2.7.0-1
rubygems 3.1.2-4
screen 4.7.0-1
sdparm 1.10-3
sed 4.8-1
sg3_utils 1.44-1
shadow 4.8-1
shared-mime-info 1.15-2
slang 2.3.2-1
smartmontools 7.1-1
sound-theme-freedesktop 0.8-3
spice 0.14.2-1
sqlite 3.30.1-2
sshfs 3.7.0-1
startup-notification 0.12-6
stoken 0.92-3
strace 5.4-1
sudo 1.8.30-1
sysfsutils 2.1.0-11
syslinux 6.04.pre2.r11.gbf6db5b4-3
sysstat 12.3.1-1
systemd 244.1-1
systemd-libs 244.1-1
systemd-sysvcompat 244.1-1
talloc 2.3.1-1
tar 1.32-3
tcl 8.6.10-1
tcpdump 4.9.3-1
tdb 1.3.18-4
testdisk 7.1-1
texinfo 6.7-2
thin-provisioning-tools 0.8.5-3
thunar 1.8.11-1
thunar-volman 0.9.5-2
tigervnc 1.10.1-1
tmux 3.0_a-1
traceroute 2.1.0-5
tre 0.8.0-5
tslib 1.21-1
ttf-dejavu 2.37-2
ttf-droid 20121017-7
tumbler 0.2.8-1
tzdata 2019c-3
unzip 6.0-13
upower 0.99.11-1
usb_modeswitch 2.6.0-1
usbmuxd 1.1.0+66+g9af2b12-1
usbutils 012-2
util-linux 2.35-1
vi 1:070224-4
vim 8.2.0148-1
vim-runtime 8.2.0148-1
vpnc 1:0.5.3.r462.r78-1
vte-common 0.58.3-1
vte3 0.58.3-1
wayland 1.17.0-1
wayland-protocols 1.18-1
wget 1.20.3-2
whdd 3.0-1
which 2.21-5
wipe 2.3.1-4
wireless-regdb 2019.06.03-2
wireless_tools 30.pre9-3
wpa_supplicant 2:2.9-5
wvdial 1.61-7
wvstreams 4.6.1-16
xarchiver 0.5.4.14-1
xcb-proto 1.13-4
xcb-util 0.4.0-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xdg-utils 1.1.3+18+g0547886-4
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.29.0-1
xf86-input-synaptics 1.9.1-1
xf86-input-vmmouse 13.1.0-4
xf86-input-void 1.4.1-4
xf86-video-amdgpu 19.1.0-1
xf86-video-ati 1:19.1.0-1
xf86-video-dummy 0.3.8-3
xf86-video-fbdev 0.5.0-1
xf86-video-intel 1:2.99.917+899+gf66d3954-1
xf86-video-nouveau 1.0.16-1
xf86-video-openchrome 0.6.0-3
xf86-video-qxl 0.1.5-7
xf86-video-vesa 2.4.0-2
xf86-video-vmware 13.3.0-1
xf86-video-voodoo 1.2.5-10
